,Unnamed: 0,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,canceled_rate,total_stay,IsCanceled
194,194,Resort Hotel,0,55,2015,July,28,7,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,82.0,1,2,Check-Out,2015-07-10,0.2209284392350401,3,0
201,201,Resort Hotel,0,8,2015,July,28,7,0,4,3,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,2,No Deposit,240.0,0.0,0,Transient,193.0,0,1,Check-Out,2015-07-11,0.22017879180086086,4,0
212,212,Resort Hotel,0,1,2015,July,28,8,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,131.0,1,1,Check-Out,2015-07-12,0.22017879180086086,4,0
214,214,Resort Hotel,0,5,2015,July,28,8,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,146.0,0,1,Check-Out,2015-07-12,0.22017879180086086,4,0
281,281,Resort Hotel,0,44,2015,July,28,11,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,120.6,0,0,Check-Out,2015-07-16,0.47719612611459533,5,0
285,285,Resort Hotel,0,70,2015,July,28,11,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,99.5,1,2,Check-Out,2015-07-17,0.2209284392350401,6,0
293,293,Resort Hotel,0,0,2015,July,28,11,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,153.0,0,0,Check-Out,2015-07-12,0.47719612611459533,1,0
294,294,Resort Hotel,0,0,2015,July,28,11,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,131.0,0,1,Check-Out,2015-07-12,0.22017879180086086,1,0
296,296,Resort Hotel,0,71,2015,July,28,11,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,65.5,0,0,Check-Out,2015-07-13,0.47719612611459533,2,0
299,299,Resort Hotel,0,8,2015,July,28,11,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,131.0,0,0,Check-Out,2015-07-14,0.47719612611459533,3,0
314,314,Resort Hotel,0,34,2015,July,29,12,2,5,2,0.0,1,HB,ESP,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,156.0,0.0,0,Transient,149.0,0,1,Check-Out,2015-07-19,0.22017879180086086,7,0
322,322,Resort Hotel,0,59,2015,July,29,12,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,144.43,1,2,Check-Out,2015-07-19,0.2209284392350401,7,0
332,332,Resort Hotel,0,13,2015,July,29,12,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,88.2,0,0,Check-Out,2015-07-14,0.47719612611459533,2,0
334,334,Resort Hotel,0,1,2015,July,29,12,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,114.5,0,1,Check-Out,2015-07-14,0.22017879180086086,2,0
337,337,Resort Hotel,0,9,2015,July,29,12,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,117.9,0,3,Check-Out,2015-07-15,0.17861433720464556,3,0
342,342,Resort Hotel,0,50,2015,July,29,12,2,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,0.0,0,Contract,123.0,0,0,Check-Out,2015-07-17,0.47719612611459533,5,0
345,345,Resort Hotel,0,34,2015,July,29,12,2,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,149.4,1,0,Check-Out,2015-07-17,0.47719612611459533,5,0
346,346,Resort Hotel,0,47,2015,July,29,13,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,175.71,0,0,Check-Out,2015-07-20,0.47719612611459533,7,0
350,350,Resort Hotel,0,98,2015,July,29,13,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,82.0,0,3,Check-Out,2015-07-15,0.17861433720464556,2,0
351,351,Resort Hotel,0,109,2015,July,29,13,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,73.8,0,1,Check-Out,2015-07-15,0.22017879180086086,2,0
353,353,Resort Hotel,0,98,2015,July,29,13,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,82.0,0,3,Check-Out,2015-07-15,0.17861433720464556,2,0
355,355,Resort Hotel,0,9,2015,July,29,13,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,161.0,1,2,Check-Out,2015-07-15,0.2209284392350401,2,0
356,356,Resort Hotel,0,62,2015,July,29,13,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient,64.0,0,2,Check-Out,2015-07-15,0.2209284392350401,2,0
360,360,Resort Hotel,0,51,2015,July,29,13,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,130.0,1,0,Check-Out,2015-07-16,0.47719612611459533,3,0
362,362,Resort Hotel,0,58,2015,July,29,13,1,2,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,2,No Deposit,250.0,0.0,0,Transient,165.0,1,1,Check-Out,2015-07-16,0.22017879180086086,3,0
366,366,Resort Hotel,0,40,2015,July,29,13,1,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,120.0,0,2,Check-Out,2015-07-18,0.2209284392350401,5,0
372,372,Resort Hotel,0,40,2015,July,29,13,1,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,120.0,0,2,Check-Out,2015-07-18,0.2209284392350401,5,0
380,380,Resort Hotel,0,81,2015,July,29,13,2,5,2,1.0,0,HB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,181.22,0,2,Check-Out,2015-07-20,0.2209284392350401,7,0
383,383,Resort Hotel,0,56,2015,July,29,13,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,134.25,1,0,Check-Out,2015-07-17,0.47719612611459533,4,0
391,391,Resort Hotel,0,0,2015,July,29,14,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,111.15,0,1,Check-Out,2015-07-18,0.22017879180086086,4,0
398,398,Resort Hotel,0,6,2015,July,29,14,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,180.0,1,2,Check-Out,2015-07-21,0.2209284392350401,7,0
399,399,Resort Hotel,0,8,2015,July,29,14,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,168.57,0,1,Check-Out,2015-07-21,0.22017879180086086,7,0
444,444,Resort Hotel,0,10,2015,July,29,16,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,184.0,1,0,Check-Out,2015-07-19,0.47719612611459533,3,0
448,448,Resort Hotel,0,19,2015,July,29,16,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,121.33,0,1,Check-Out,2015-07-19,0.22017879180086086,3,0
466,466,Resort Hotel,0,11,2015,July,29,17,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,155.5,1,0,Check-Out,2015-07-19,0.47719612611459533,2,0
469,469,Resort Hotel,0,1,2015,July,29,17,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,144.5,0,0,Check-Out,2015-07-19,0.47719612611459533,2,0
476,476,Resort Hotel,0,94,2015,July,29,17,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,103.5,0,0,Check-Out,2015-07-22,0.47719612611459533,5,0
484,484,Resort Hotel,0,23,2015,July,29,17,2,5,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,195.0,0,0,Check-Out,2015-07-24,0.47719612611459533,7,0
491,491,Resort Hotel,0,65,2015,July,29,17,2,6,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,147.0,0,2,Check-Out,2015-07-25,0.2209284392350401,8,0
492,492,Resort Hotel,0,65,2015,July,29,17,2,6,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,167.0,1,2,Check-Out,2015-07-25,0.2209284392350401,8,0
494,494,Resort Hotel,0,25,2015,July,29,17,3,7,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,1,No Deposit,0.0,0.0,0,Transient,194.9,0,2,Check-Out,2015-07-27,0.2209284392350401,10,0
499,499,Resort Hotel,0,38,2015,July,29,17,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,135.0,0,0,Check-Out,2015-07-20,0.47719612611459533,3,0
506,506,Resort Hotel,0,3,2015,July,29,17,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,116.33,1,1,Check-Out,2015-07-20,0.22017879180086086,3,0
508,508,Resort Hotel,0,19,2015,July,29,18,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,147.67,0,2,Check-Out,2015-07-21,0.2209284392350401,3,0
527,527,Resort Hotel,0,44,2015,July,29,18,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,177.0,1,0,Check-Out,2015-07-25,0.47719612611459533,7,0
534,534,Resort Hotel,0,57,2015,July,29,18,2,6,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,135.0,0,1,Check-Out,2015-07-26,0.22017879180086086,8,0
536,536,Resort Hotel,0,57,2015,July,29,18,2,6,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,135.0,0,1,Check-Out,2015-07-26,0.22017879180086086,8,0
550,550,Resort Hotel,0,41,2015,July,30,19,2,5,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,131.37,0,1,Check-Out,2015-07-26,0.22017879180086086,7,0
565,565,Resort Hotel,0,123,2015,July,30,19,2,4,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,2,No Deposit,240.0,0.0,0,Transient,130.5,0,1,Check-Out,2015-07-25,0.22017879180086086,6,0
578,578,Resort Hotel,0,41,2015,July,30,20,1,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,104.0,0,0,Check-Out,2015-07-25,0.47719612611459533,5,0
587,587,Resort Hotel,0,42,2015,July,30,20,2,5,2,0.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,148.34,0,0,Check-Out,2015-07-27,0.47719612611459533,7,0
588,588,Resort Hotel,0,62,2015,July,30,20,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,167.0,0,1,Check-Out,2015-07-27,0.22017879180086086,7,0
611,611,Resort Hotel,0,0,2015,July,30,22,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,153.0,1,0,Check-Out,2015-07-23,0.47719612611459533,1,0
623,623,Resort Hotel,0,33,2015,July,30,23,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient-Party,194.0,1,1,Check-Out,2015-07-26,0.22017879180086086,3,0
626,626,Resort Hotel,0,33,2015,July,30,23,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,184.0,0,1,Check-Out,2015-07-26,0.22017879180086086,3,0
633,633,Resort Hotel,0,9,2015,July,30,24,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,164.0,0,2,Check-Out,2015-07-26,0.2209284392350401,2,0
636,636,Resort Hotel,0,22,2015,July,30,24,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,153.0,0,2,Check-Out,2015-07-26,0.2209284392350401,2,0
637,637,Resort Hotel,0,22,2015,July,30,24,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,173.0,0,2,Check-Out,2015-07-26,0.2209284392350401,2,0
638,638,Resort Hotel,0,22,2015,July,30,24,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,153.0,0,2,Check-Out,2015-07-26,0.2209284392350401,2,0
640,640,Resort Hotel,0,22,2015,July,30,24,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient-Party,153.0,0,2,Check-Out,2015-07-26,0.2209284392350401,2,0
642,642,Resort Hotel,0,18,2015,July,30,24,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,154.0,0,0,Check-Out,2015-07-26,0.47719612611459533,2,0
648,648,Resort Hotel,0,39,2015,July,30,24,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,107.0,0,0,Check-Out,2015-07-26,0.47719612611459533,2,0
661,661,Resort Hotel,0,43,2015,July,30,24,2,7,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,166.0,0,0,Check-Out,2015-08-02,0.47719612611459533,9,0
667,667,Resort Hotel,0,40,2015,July,30,25,0,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,107.0,0,0,Check-Out,2015-07-26,0.47719612611459533,1,0
668,668,Resort Hotel,0,11,2015,July,30,25,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,117.81,0,0,Check-Out,2015-07-26,0.47719612611459533,1,0
669,669,Resort Hotel,0,39,2015,July,30,25,0,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,107.0,0,0,Check-Out,2015-07-26,0.47719612611459533,1,0
675,675,Resort Hotel,0,12,2015,July,30,25,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,153.0,0,1,Check-Out,2015-07-27,0.22017879180086086,2,0
679,679,Resort Hotel,0,25,2015,July,30,25,2,3,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,158.77,0,2,Check-Out,2015-07-30,0.2209284392350401,5,0
680,680,Resort Hotel,0,94,2015,July,30,25,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,134.0,1,1,Check-Out,2015-07-30,0.22017879180086086,5,0
709,709,Resort Hotel,0,47,2015,July,31,26,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,103.5,0,0,Check-Out,2015-07-29,0.47719612611459533,3,0
716,716,Resort Hotel,0,38,2015,July,31,26,2,5,2,2.0,0,HB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,180.0,0,0,Check-Out,2015-08-02,0.47719612611459533,7,0
730,730,Resort Hotel,0,51,2015,July,31,27,1,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,115.0,0,0,Check-Out,2015-07-30,0.47719612611459533,3,0
733,733,Resort Hotel,0,6,2015,July,31,27,1,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,5,No Deposit,0.0,0.0,0,Transient,162.0,0,2,Check-Out,2015-07-31,0.2209284392350401,4,0
735,735,Resort Hotel,0,28,2015,July,31,27,1,3,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,142.0,0.0,0,Transient,133.2,0,0,Check-Out,2015-07-31,0.47719612611459533,4,0
737,737,Resort Hotel,0,45,2015,July,31,27,1,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,107.0,1,2,Check-Out,2015-07-31,0.2209284392350401,4,0
739,739,Resort Hotel,0,31,2015,July,31,27,1,3,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,145.0,0,0,Check-Out,2015-07-31,0.47719612611459533,4,0
752,752,Resort Hotel,0,35,2015,July,31,27,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,159.6,1,1,Check-Out,2015-08-02,0.22017879180086086,6,0
765,765,Resort Hotel,0,32,2015,July,31,28,0,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,177.0,0.0,0,Transient,107.0,0,1,Check-Out,2015-08-01,0.22017879180086086,4,0
770,770,Resort Hotel,0,36,2015,July,31,28,0,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,135.0,0,0,Check-Out,2015-08-02,0.47719612611459533,5,0
795,795,Resort Hotel,0,37,2015,July,31,30,0,1,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,134.0,0.0,0,Transient,107.0,0,0,Check-Out,2015-07-31,0.47719612611459533,1,0
803,803,Resort Hotel,0,52,2015,July,31,30,0,3,2,2.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,280.74,1,0,Check-Out,2015-07-30,0.47719612611459533,3,0
854,854,Resort Hotel,0,3,2015,August,31,1,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,188.29,0,2,Check-Out,2015-08-08,0.2209284392350401,7,0
878,878,Resort Hotel,0,34,2015,August,32,2,2,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,3,No Deposit,250.0,0.0,0,Transient,174.76,1,1,Check-Out,2015-08-09,0.22017879180086086,7,0
901,901,Resort Hotel,0,14,2015,August,32,4,0,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,241.0,0,2,Check-Out,2015-08-09,0.2209284392350401,5,0
903,903,Resort Hotel,0,140,2015,August,32,4,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,6.0,0.0,0,Transient-Party,90.95,1,0,Check-Out,2015-08-11,0.47719612611459533,7,0
904,904,Resort Hotel,0,6,2015,August,32,4,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,188.29,0,2,Check-Out,2015-08-11,0.2209284392350401,7,0
910,910,Resort Hotel,0,2,2015,August,32,5,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,171.9,0,0,Check-Out,2015-08-06,0.47719612611459533,1,0
914,914,Resort Hotel,0,44,2015,August,32,5,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,148.25,1,0,Check-Out,2015-08-09,0.47719612611459533,4,0
925,925,Resort Hotel,0,9,2015,August,32,6,0,3,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,2,No Deposit,240.0,0.0,0,Transient,268.0,1,1,Check-Out,2015-08-09,0.22017879180086086,3,0
932,932,Resort Hotel,0,51,2015,August,32,6,2,6,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,173.0,0,0,Check-Out,2015-08-14,0.47719612611459533,8,0
947,947,Resort Hotel,0,83,2015,August,32,7,2,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient-Party,107.2,0,2,Check-Out,2015-08-11,0.2209284392350401,4,0
960,960,Resort Hotel,0,98,2015,August,32,8,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,208.0,1,1,Check-Out,2015-08-10,0.22017879180086086,2,0
964,964,Resort Hotel,0,3,2015,August,32,8,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,211.75,1,3,Check-Out,2015-08-12,0.17861433720464556,4,0
998,998,Resort Hotel,0,81,2015,August,33,9,2,4,2,1.0,1,FB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,277.0,1,1,Check-Out,2015-08-15,0.22017879180086086,6,0
